path,format,version_visible,date_visible,test_counts_visible,same_stem_markdown_source,release_fact_status
DOCUMENT_OFFICIEL_PROJET_FR.pdf,pdf,2.0.0,2026-08-01,113,,CURRENT
OFFICIAL_PROJECT_DOCUMENT_EN.pdf,pdf,2.0.0,2026-08-01,113,,CURRENT
government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.docx,docx,2.0.0,2026-08-01,113,government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.md,CURRENT
government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.pdf,pdf,2.0.0,2026-08-01,113,government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.md,CURRENT
government/CANADIAN_POLICY_WHITE_PAPER.pdf,pdf,2.0.0,2026-08-01,113,government/CANADIAN_POLICY_WHITE_PAPER.md,CURRENT
government/CHARTER_ANALYSIS.pdf,pdf,2.0.0,2026-08-01,,government/CHARTER_ANALYSIS.md,CURRENT
government/FEDERAL_PROVINCIAL_JURISDICTION_ANALYSIS.pdf,pdf,2.0.0,2026-08-01,,government/FEDERAL_PROVINCIAL_JURISDICTION_ANALYSIS.md,CURRENT
government/NOTE_DE_SYNTHESE_FR.pdf,pdf,2.0.0,2026-08-01,113,government/NOTE_DE_SYNTHESE_FR.md,CURRENT
government/PRIVACY_AND_HUMAN_RIGHTS_ANALYSIS.pdf,pdf,2.0.0,2026-08-01,,government/PRIVACY_AND_HUMAN_RIGHTS_ANALYSIS.md,CURRENT
impact/IMPACT_CANADIEN_FR.pdf,pdf,2.0.0,2026-08-01,,impact/IMPACT_CANADIEN_FR.md,CURRENT
impact/business-and-operations/BUSINESS_AND_OPERATIONS_IMPACT_REPORT.pdf,pdf,2.0.0,2026-08-01,,impact/business-and-operations/BUSINESS_AND_OPERATIONS_IMPACT_REPORT.md,CURRENT
impact/human-resources/HR_AND_LABOUR_IMPACT_REPORT.pdf,pdf,2.0.0,2026-08-01,,impact/human-resources/HR_AND_LABOUR_IMPACT_REPORT.md,CURRENT
impact/societal/SOCIETAL_IMPACT_ASSESSMENT.pdf,pdf,2.0.0,2026-08-01,,impact/societal/SOCIETAL_IMPACT_ASSESSMENT.md,CURRENT
paper/aegis-trace-arxiv.pdf,pdf,NOT_EXTRACTED,NOT_EXTRACTED,113,,UNVERIFIED
paper/main.pdf,pdf,NOT_EXTRACTED,NOT_EXTRACTED,113,,UNVERIFIED
technical/AEGISTRACE_TECHNICAL_ARCHITECTURE.pdf,pdf,2.0.0,2026-08-01,,technical/AEGISTRACE_TECHNICAL_ARCHITECTURE.md,CURRENT
technical/ARCHITECTURE_TECHNIQUE_FR.pdf,pdf,2.0.0,2026-08-01,,technical/ARCHITECTURE_TECHNIQUE_FR.md,CURRENT
university/UNIVERSITY_RESEARCH_REPORT.docx,docx,2.0.0,2026-08-01,113,university/UNIVERSITY_RESEARCH_REPORT.md,CURRENT
university/UNIVERSITY_RESEARCH_REPORT.pdf,pdf,2.0.0,2026-08-01,113,university/UNIVERSITY_RESEARCH_REPORT.md,CURRENT
