path,extension,bytes,sha256,numbered_handoff_archives,in_numbered_handoff
.gitattributes,<none>,1011,DD533242EB29887A9252046BD0C4408D701319D3B2A2D0787BDCFBA924795A40,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
.github/workflows/ci.yml,.yml,848,39FD34212EB0262BBB0856E60F375299714BB98BE3FDBBB4661B9C40ABF9C485,AI-IDP-02-SOURCE-CODE.zip,True
.gitignore,<none>,1671,32FB9288AC8BDD61882E1892BE7914B3558EFCD501A28F030C91BA01AD68AE2A,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
administration/ADMINISTRATIVE_IMPLEMENTATION_PLAN.md,.md,3444,DBE484F73EC7820E51753509A96F07A68262A3C463BBF67C9193F8137ED362AA,AI-IDP-07-RESEARCH.zip,True
administration/APPEALS_AND_CORRECTIONS.md,.md,1824,92287E54DA6AA989FB29B4A0670D069E489D4538E73E079AE7B4440FE73DE352,AI-IDP-07-RESEARCH.zip,True
administration/GOVERNANCE_OPERATING_MODEL.md,.md,1798,2ED1316369F0D1A65F0226AB06D8D3B182DE7DADAE18965C39C2A0EA15FB5488,AI-IDP-07-RESEARCH.zip,True
AGENTS.md,.md,2624,76C8A12ADD7A2D48C640DD3F2620572DC2C6FFEF106F5558C7E30F8FC08761B0,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
AI-IDP-01-ARXIV-PAPER.zip,.zip,205621,F3DEBE453E281A8D6E886AF087049BEF30B5BABE44AC7F2C82DF4DFDD9E70007,,False
AI-IDP-02-SOURCE-CODE.zip,.zip,128674,4531C21C4E2B503FD407A3A853931A6986B8C5A39DA349E1DA92690B202A9557,,False
AI-IDP-03-SPECS-SCHEMAS.zip,.zip,79447,35134C91FC37256DABC3BF5E8DF32311820B5B945697E1597103ECF0089C0821,,False
AI-IDP-04-GOVERNMENT.zip,.zip,14533969,2C8D56E777D8DD5D8930D078306D390B4EB926343384149DBE6FD56D9459E9C4,,False
AI-IDP-05-IMPACT-REPORTS.zip,.zip,9648645,E346F35C0A5E65BDE63C1E83F9CEBD5C5B3DF20B0B1D15C3520082201CDA3F55,,False
AI-IDP-06-UNIVERSITY-TECHNICAL.zip,.zip,7305048,99B7A587C006A18BB1DDF885F8AD6D37180BE920270214AE5EB9AA1D8769DC08,,False
AI-IDP-07-RESEARCH.zip,.zip,39574,84EBD77F90999F95931004E23B525EA597FB8BB3CC50BD9E747425523FD61662,,False
AI-IDP-08-PROJECT-CONTROL.zip,.zip,80487,4F97FEA3BE26E3D1D420E6E51EBBFF10D5061580F3DFA52FA0AF81C55705FB12,,False
AI-IDP-09-BRAND.zip,.zip,6343346,5527C5F93B20439449DDB36777D68F4309B38A9E2FF007BC04F873A867AC985D,,False
AI-IDP-10-ROOT-AND-DELIVERABLES.zip,.zip,4903517,8D72525980D45C7123623F8205E8202F543B81DE837088504DC4E29A2652E254,,False
ARTIFACT_MANIFEST.md,.md,1951,AC2A2F7D13756147592336BB46A560080C427785EEA7136A7276A857A101E764,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
ARXIV_SUBMISSION_INSTRUCTIONS.md,.md,10364,2AEF3CC6018302BED09020652BC2F423BF6A9046DBA31CE0658CFADC5390535B,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
ASSUMPTIONS.md,.md,1728,85EF51C99ED4EE5837A83033D2B2237C72CC756254CCCE6336F973FE350DC946,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
AUTHOR_IDENTITY.md,.md,3947,EA6DD4EEF617E7035C15BB6CB7910C1E37544C1467710B3E45F59997AF5CCB17,,False
AUTHORS.md,.md,2010,5CF25EDAD210034A186B3B4F8B9BAA834D7AB28BC1C4E608CC1CF0B755C5E912,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
AUTHORSHIP_AND_IP.md,.md,3993,ABC1B0F571D4253E679D09423147D8805BBA5267B3E537D38A0B5C54FDAD7A97,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
brand/AUTHOR_IDENTITY.md,.md,3947,EA6DD4EEF617E7035C15BB6CB7910C1E37544C1467710B3E45F59997AF5CCB17,AI-IDP-09-BRAND.zip,True
brand/CONTACT_BLOCKS.md,.md,2686,87703435EAC590EE2FF7B47734848AB24936E6F84EDEB8190B9723E27F9BD896,AI-IDP-09-BRAND.zip,True
brand/DOCUMENT_IDENTITY_RULES.md,.md,5445,D1C01D1E112FE489A496CF6E0EE5A577F52C9EF306DE96414FF51B5A1DBE3A07,AI-IDP-09-BRAND.zip,True
brand/originals/CI-Logo-3D-Hexagon-Gold-Cyan-Violet_Official-Brand-Identity-Transparent-V2.png,.png,1586326,E62028872D4004DEB8908E38E6085784BA1BBD733E7404D0376EF64D6E296822,AI-IDP-09-BRAND.zip,True
brand/originals/CI-Logo-Brand-Lockup-Horizontal_Cognitive-Industries-Bilingual-Gold-Text-Transparent.png,.png,2216173,C5ED7859F5D7CD5AC4CD174C42F9D0437AE7A2511D9BA25925A3375292ED1D19,AI-IDP-09-BRAND.zip,True
brand/originals/Cognitive_industries_Brandcard_guidelines_and_branding_id.png,.png,2744095,B637F33261EF2E830E807DD00AA3AC6811A6F29E3120D229B09A9B0D8DBBCBF9,AI-IDP-09-BRAND.zip,True
brand/originals/SHA256SUMS.txt,.txt,428,F973CEFA32A6DA3988FC862E8A31271E1FED2CDA88EF7C2CA829008A95187BA1,AI-IDP-09-BRAND.zip,True
BUILD_WINDOWS.bat,.bat,5285,83F449B18DE3547DDEA61FB7DBFEDE94F7C0812FE209622CD49A738BBA8A760B,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
CHANGELOG.md,.md,9439,AB26554CFC4610689313E00AFCABE0FF97903ED43484AC1046F85C5231191411,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
CITATION.cff,.cff,1236,A92434C52A0515A69F629695B4742041A2E9F1A88A4138B67D084D4CC23357A4,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
CODE_OF_CONDUCT.md,.md,1920,5F200FE771BE2B90B091A8E01429E7BEEA6AEDF05721D22280A3A642C25B04A2,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
compose.yaml,.yaml,793,54733F03CE2E8FAD7C43A95D1B043BD870E49915C8E0F52291D17D9B154912B7,AI-IDP-02-SOURCE-CODE.zip,True
CONTACT_BLOCKS.md,.md,2686,87703435EAC590EE2FF7B47734848AB24936E6F84EDEB8190B9723E27F9BD896,,False
CONTRIBUTING.md,.md,1999,7130E37F5351D698CB52A1372DB611CC4EF07C8512D265979953531311021E95,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
Dockerfile,<none>,1225,96C1CC5973C195783C81C386343CE3DA9440842636FB26825185598DA4AC195A,AI-IDP-02-SOURCE-CODE.zip,True
docs/api-guide.md,.md,1886,BA591EE5A7E12B20AAF91E7C61D3FD22C3D3ECED942012E7F14A210AEB3F7612,AI-IDP-07-RESEARCH.zip,True
docs/architecture-guide.md,.md,3892,622470485E2A7AB7836110E47D9D85F6CBE357EA671FC1000EC650709E24F1D3,AI-IDP-07-RESEARCH.zip,True
docs/auditor-guide.md,.md,2179,BD9093ADDA377C156682AD17F08CC79B452A4D126863B61F40FCB6FD5191FD0D,AI-IDP-07-RESEARCH.zip,True
docs/certification-guide.md,.md,1796,394AA4E3A73862D08BD460C3320F51C65715EA4CABD623D2E9CD34955750E300,AI-IDP-07-RESEARCH.zip,True
docs/cli-guide.md,.md,1973,A0DDD281611AD6FD70E78423890A935DC1679DFDCB699B7E50F1013DD2CCBAD7,AI-IDP-07-RESEARCH.zip,True
docs/developer-guide.md,.md,4423,C6AD56B1280179A60FEF410169B61E44C86E50B41A9DD255D0C317F2EF528660,AI-IDP-07-RESEARCH.zip,True
docs/federation-guide.md,.md,2170,3DE211FA00FD20D545C6944E176B17D176368A2B61F48042D43BD7AB60A138FD,AI-IDP-07-RESEARCH.zip,True
docs/migration-guide.md,.md,1421,8ABF9F121A5B4FCC6B05FBE1EDF37E73D14285C420467E8617AA73071BB49542,AI-IDP-07-RESEARCH.zip,True
