artifact_path,artifact_type,format,producing_phase,producing_agent,status,checksum_algorithm,checksum,notes
project-control/VERIFIED_AUTHOR_DATA.md,control,md,P0,A01-guardian,complete,sha256,,Authoritative identity record
project-control/VERIFIED_CONTACT_DATA.json,control,json,P0,A01-guardian,complete,sha256,,Machine-readable contact data
project-control/MISSING_AUTHOR_DATA.md,control,md,P0,A01-guardian,complete,sha256,,Register of absent fields
project-control/PUBLICATION_METADATA_STATUS.md,control,md,P0,A01-guardian,complete,sha256,,Forbids fabricated identifiers
project-control/PROJECT_STATUS.md,control,md,P0,A02-orchestrator,complete,sha256,,Living status snapshot
project-control/DECISION_LOG.md,control,md,P0,A02-orchestrator,complete,sha256,,Autonomous decisions
project-control/MASTER_TASK_GRAPH.json,control,json,P0,A02-orchestrator,complete,sha256,,P0-P6 task graph
brand/originals/SHA256SUMS.txt,brand,txt,P0,A01-guardian,complete,sha256,,Originals checksum
brand/originals/CI-Logo-3D-Hexagon-Gold-Cyan-Violet_Official-Brand-Identity-Transparent-V2.png,brand,png,P0,A01-guardian,complete,sha256,e62028872d4004deb8908e38e6085784ba1bbd733e7404d0376ef64d6e296822,Official 3D hexagonal logo
brand/originals/CI-Logo-Brand-Lockup-Horizontal_Cognitive-Industries-Bilingual-Gold-Text-Transparent.png,brand,png,P0,A01-guardian,complete,sha256,c5ed7859f5d7cd5ac4cd174c42f9d0437ae7a2511d9ba25925a3375292ed1d19,Bilingual lockup
brand/originals/Cognitive_industries_Brandcard_guidelines_and_branding_id.png,brand,png,P0,A01-guardian,complete,sha256,b637f33261ef2e830e807dd00aa3ac6811a6f29e3120d229b09a9b0d8dbbcbf9,Brand guidelines card
README.md,governance,md,P0,A02-orchestrator,complete,sha256,,Repository entry
PROJECT_CHARTER.md,governance,md,P0,A01-guardian,complete,sha256,,Charter
PROJECT_SCOPE_LOCK.md,governance,md,P0,A01-guardian,complete,sha256,,Scope lock
AUTHORSHIP_AND_IP.md,governance,md,P0,A01-guardian,complete,sha256,,IP declaration
GOVERNANCE.md,governance,md,P0,A01-guardian,complete,sha256,,Governance model
SECURITY.md,governance,md,P0,A09-security,complete,sha256,,Security policy
PRIVACY.md,governance,md,P0,A10-privacy,complete,sha256,,Privacy policy
CONTRIBUTING.md,governance,md,P0,A02-orchestrator,complete,sha256,,Contribution policy
CODE_OF_CONDUCT.md,governance,md,P0,A02-orchestrator,complete,sha256,,Conduct
CHANGELOG.md,governance,md,P0,A02-orchestrator,complete,sha256,,Changelog
RELEASE_POLICY.md,governance,md,P0,A35-release,complete,sha256,,Release policy
LICENSING_STATUS.md,governance,md,P0,A01-guardian,complete,sha256,,No licence applied
TRADEMARK_AND_BRAND_POLICY.md,governance,md,P0,A01-guardian,complete,sha256,,Trademark policy
CITATION.cff,governance,yaml,P0,A27-editor,complete,sha256,,Citation metadata
AUTHORS.md,governance,md,P0,A01-guardian,complete,sha256,,Authors
NOTICE.md,governance,md,P0,A01-guardian,complete,sha256,,Third-party notices
AGENTS.md,governance,md,P0,A02-orchestrator,complete,sha256,,Agent protocol
SKILL.md,governance,md,P0,A02-orchestrator,complete,sha256,,Skill description
MASTER_HANDOFF.md,governance,md,P0,A02-orchestrator,complete,sha256,,Handoff
ARTIFACT_MANIFEST.md,governance,md,P0,A02-orchestrator,complete,sha256,,Manifest
ASSUMPTIONS.md,governance,md,P0,A02-orchestrator,complete,sha256,,Assumptions
LIMITATIONS.md,governance,md,P0,A02-orchestrator,complete,sha256,,Limitations
spec/AI-IDP-CORE.md,spec,md,P3,A20-architect,complete,sha256,,Core spec
spec/AI-IDP-CANADA.md,spec,md,P3,A04-constitutional,complete,sha256,,Canada-specific spec
spec/TERMINOLOGY.md,spec,md,P1,A03-protocol,complete,sha256,,Terminology
spec/ACTOR_MODEL.md,spec,md,P3,A20-architect,complete,sha256,,Actor model
spec/IDENTITY_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Identity protocol
spec/IDENTITY_LIFECYCLE.md,spec,md,P3,A20-architect,complete,sha256,,Lifecycle
spec/DELEGATION_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Delegation
spec/AUTHORIZATION_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Authorization
spec/APPROVAL_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Approval
spec/EVENT_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Event protocol
spec/PERMANENT_RECORD_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Permanent record
spec/RESOURCE_TRACE_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Resource trace
spec/QUALITY_EVIDENCE_PROTOCOL.md,spec,md,P3,A13-quality,complete,sha256,,Quality evidence
spec/REGISTRY_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Registry
spec/FEDERATION_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Federation
spec/OFFLINE_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Offline
spec/DISCLOSURE_PROTOCOL.md,spec,md,P3,A10-privacy,complete,sha256,,Disclosure
spec/REVOCATION_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Revocation
spec/CORRECTION_PROTOCOL.md,spec,md,P3,A20-architect,complete,sha256,,Correction
spec/INCIDENT_PROTOCOL.md,spec,md,P3,A09-security,complete,sha256,,Incident
spec/AUDIT_PROTOCOL.md,spec,md,P3,A09-security,complete,sha256,,Audit
spec/CERTIFICATION_PROTOCOL.md,spec,md,P3,A17-admin,complete,sha256,,Certification
spec/CONFORMANCE_LEVELS.md,spec,md,P3,A13-quality,complete,sha256,,Conformance levels
spec/EXTENSION_POLICY.md,spec,md,P3,A20-architect,complete,sha256,,Extension policy
spec/VERSIONING_POLICY.md,spec,md,P3,A22-schema,complete,sha256,,Versioning policy
schemas/jurisdiction.schema.json,schema,json,P3,A22-schema,complete,sha256,,Jurisdiction schema
schemas/provider.schema.json,schema,json,P3,A22-schema,complete,sha256,,Provider
schemas/model.schema.json,schema,json,P3,A22-schema,complete,sha256,,Model
schemas/deployment.schema.json,schema,json,P3,A22-schema,complete,sha256,,Deployment
schemas/controller.schema.json,schema,json,P3,A22-schema,complete,sha256,,Controller
schemas/principal.schema.json,schema,json,P3,A22-schema,complete,sha256,,Principal
schemas/agent.schema.json,schema,json,P3,A22-schema,complete,sha256,,Agent
schemas/agent-instance.schema.json,schema,json,P3,A22-schema,complete,sha256,,Agent instance
schemas/task.schema.json,schema,json,P3,A22-schema,complete,sha256,,Task
schemas/delegation.schema.json,schema,json,P3,A22-schema,complete,sha256,,Delegation
schemas/authorization.schema.json,schema,json,P3,A22-schema,complete,sha256,,Authorization
schemas/event.schema.json,schema,json,P3,A22-schema,complete,sha256,,Event
schemas/resource.schema.json,schema,json,P3,A22-schema,complete,sha256,,Resource
schemas/quality-evidence.schema.json,schema,json,P3,A22-schema,complete,sha256,,Quality evidence
src/aegistrace/__init__.py,code,py,P4,A21-engineer,complete,sha256,,Package init
src/aegistrace/identity/__init__.py,code,py,P4,A21-engineer,complete,sha256,,Identity module
src/aegistrace/identity/ids.py,code,py,P4,A21-engineer,complete,sha256,,Identifier model
src/aegistrace/identity/keys.py,code,py,P4,A21-engineer,complete,sha256,,Key management
